"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"R-US_0204/7";"0204/7";"R4, R5, R6, R7";"RESISTOR, American symbol";"";
"1";"4001D";"4001D";"SO14";"IC13";"Quad 2-input NOR";"";
"1";"4017D";"4017D";"SO16";"DECADECOUNTER";"COUNTER/DIVIDER";"";
"2";"4027D";"4027D";"SO16";"FF_R/W(H=WRITE), IC9";"Dual JK FLIP FLOP";"";
"2";"4029D";"4029D";"SO16";"RAMADDRESS, ROWBOTTOM";"Binary/decimal up/down COUNTER";"";
"7";"4035D";"4035D";"SO16";"SR_FOUR_1, SR_FOUR_2, SR_ONE_1, SR_ONE_2, SR_TWO_1, SR_TWO_2, STATE";"4-bit parallel in/out SHIFT REGISTER";"";
"10";"4053D";"4053D";"SO16";"IC10, IC16, IC17, IC18, IC20, IC21, IC22, MUX_ADDRESS, REWRITE_MUX, SHIFT_DOWN_MUX";"Triple 2-channel ANALOG MULTIPLEXER";"";
"3";"4071D";"4071D";"SO14";"DECADE2OR5, OR_DISPLAY_1, OR_DISPLAY_2";"Quad 2-input OR";"";
"2";"4081D";"4081D";"SO14";"IC8, IC15";"Quad 2-input AND";"";
"2";"ATF16V8BS";"ATF16V8BS";"SO20L";"8INANDOR, OVERLAPLOGIC";"High perfomance CMOS (electrically erasable) programmable logic device (PLD)";"";
"1";"CY62256LL-SNC";"CY62256LL-SNC";"SOJ28/3";"RAM_FIELD";"256K (32K x 8) CMOS-Static RAM";"";
"2";"LM555N";"LM555N";"DIL08";"1/3HZ, 9KHZ";"TIMER";"";
